id;spriteSheetAddress;spriteWidth;spriteHeight;frames;autoUpdate;looping

spaceliftCabin;assets/graphics/spacelift/spacelift_animations.png;32;64;[2/0/10000];false;true
spaceliftRay;assets/graphics/spacelift/spacelift_animations.png;16;16;[2/0/50,2/1/50];false;true
spaceliftGroundDoor;assets/graphics/spacelift/spacelift_animations.png;16;16;[0/0/100000];false;true
spaceliftSpaceDoor;assets/graphics/spacelift/spacelift_animations.png;16;16;[1/0/100000];false;true

playerDying;assets/graphics/player/player.png;16;16;[0/37/500,1/37/500,2/37/500,3/37/500,4/37/500,5/37/500,6/37/1500,7/37/3000];false;false

playerDefaultInanimatedRight;assets/graphics/player/player.png;16;16;[0/0/2000,1/0/300,0/0/2000,1/0/300,0/0/2000,1/0/300,0/0/2000,1/0/300];true;true
playerDefaultInanimatedDown;assets/graphics/player/player.png;16;16;[0/1/2000,1/1/300,0/1/2000,1/1/300,0/1/2000,1/1/300,0/1/2000,1/1/300];true;true
playerDefaultInanimatedLeft;assets/graphics/player/player.png;16;16;[0/2/2000,1/2/300,0/2/2000,1/2/300,0/2/2000,1/2/300,0/2/2000,1/2/300];true;true
playerDefaultInanimatedUp;assets/graphics/player/player.png;16;16;[0/3/2000,1/3/300,0/3/2000,1/3/300,0/3/2000,1/3/300,0/3/2000,1/3/300];true;true

playerDefaultAnimatedRight;assets/graphics/player/player.png;16;16;[0/4/50,1/4/50,2/4/50,1/4/50];true;true
playerDefaultAnimatedDown;assets/graphics/player/player.png;16;16;[0/5/50,1/5/50,2/5/50,1/5/50];true;true
playerDefaultAnimatedLeft;assets/graphics/player/player.png;16;16;[0/6/50,1/6/50,2/6/50,1/6/50];true;true
playerDefaultAnimatedUp;assets/graphics/player/player.png;16;16;[0/7/50,1/7/50,2/7/50,1/7/50];true;true

playerDefaultHitRight;assets/graphics/player/player.png;16;16;[3/0/25,4/0/25,5/0/25];true;true
playerDefaultHitDown;assets/graphics/player/player.png;16;16;[3/1/25,4/1/25,5/1/25];true;true
playerDefaultHitLeft;assets/graphics/player/player.png;16;16;[3/2/25,4/2/25,5/2/25];true;true
playerDefaultHitUp;assets/graphics/player/player.png;16;16;[3/3/25,4/3/25,5/3/25];true;true

playerDefaultHoldingItemRight;assets/graphics/player/player.png;16;16;[0/0/2000,1/0/300,0/0/2000,1/0/300,0/0/2000,1/0/300,0/0/2000,1/0/300];true;true
playerDefaultHoldingItemDown;assets/graphics/player/player.png;16;16;[6/1/2000];true;true
playerDefaultHoldingItemLeft;assets/graphics/player/player.png;16;16;[0/2/2000,1/2/300,0/2/2000,1/2/300,0/2/2000,1/2/300,0/2/2000,1/2/300];true;true
playerDefaultHoldingItemUp;assets/graphics/player/player.png;16;16;[0/3/2000,1/3/300,0/3/2000,1/3/300,0/3/2000,1/3/300,0/3/2000,1/3/300];true;true

playerInVehicleInanimatedRight;assets/graphics/items/vehicle.png;16;16;[0/0/500,1/0/500];true;true
playerInVehicleInanimatedDown;assets/graphics/items/vehicle.png;16;16;[0/1/500,1/1/500];true;true
playerInVehicleInanimatedLeft;assets/graphics/items/vehicle.png;16;16;[0/2/500,1/2/500];true;true
playerInVehicleInanimatedUp;assets/graphics/items/vehicle.png;16;16;[0/3/500,1/3/500];true;true

playerInVehicleAnimatedRight;assets/graphics/items/vehicle.png;16;16;[0/0/500,1/0/500];true;true
playerInVehicleAnimatedDown;assets/graphics/items/vehicle.png;16;16;[0/1/500,1/1/500];true;true
playerInVehicleAnimatedLeft;assets/graphics/items/vehicle.png;16;16;[0/2/500,1/2/500];true;true
playerInVehicleAnimatedUp;assets/graphics/items/vehicle.png;16;16;[0/3/500,1/3/500];true;true

playerInVehicleHitRight;assets/graphics/items/vehicle.png;16;16;[0/0/500,1/0/500];true;true
playerInVehicleHitDown;assets/graphics/items/vehicle.png;16;16;[0/1/500,1/1/500];true;true
playerInVehicleHitLeft;assets/graphics/items/vehicle.png;16;16;[0/2/500,1/2/500];true;true
playerInVehicleHitUp;assets/graphics/items/vehicle.png;16;16;[0/3/500,1/3/500];true;true

playerInVehicleHoldingItemRight;assets/graphics/items/vehicle.png;16;16;[0/0/500,1/0/500];true;true
playerInVehicleHoldingItemDown;assets/graphics/items/vehicle.png;16;16;[0/1/500,1/1/500];true;true
playerInVehicleHoldingItemLeft;assets/graphics/items/vehicle.png;16;16;[0/2/500,1/2/500];true;true
playerInVehicleHoldingItemUp;assets/graphics/items/vehicle.png;16;16;[0/3/500,1/3/500];true;true

playerInPlatformInanimatedRight;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformInanimatedDown;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformInanimatedLeft;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformInanimatedUp;assets/graphics/player/player.png;16;16;[6/0/10000];true;true

playerInPlatformAnimatedRight;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformAnimatedDown;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformAnimatedLeft;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformAnimatedUp;assets/graphics/player/player.png;16;16;[6/0/10000];true;true

playerInPlatformHitRight;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
