ruleName;pieceType;ifGameProgressPropertyValueIs;gameProgressProperty;description;priority
INFOBIT_DESCRIPTION;infobit;0;infobitDescription;You found your first infobit. Infobits represent your knowledge about the planet.;40
INFOBYTE_DESCRIPTION;infobyte;0;infobyteDescription;You found an infobyte. It's worth five infobits.;40
INFOBANK_DESCRIPTION;infobank;0;infobankDescription;You found an infobank. It's worth twenty five infobits.;40
SUPPLIES_DESCRIPTION;supplies;0;suppliesDescription;You found a supply ration and ate it. Your hunger is stilled. ;40
VEHICLE_DESCRIPTION;vehicle;0;vehicleDescription; You found a vehicle. Use it to travel faster. Keep an eye on the fuel. Exit the vehicle by pressing [SHIFT] + [arrow key].;40
SOULESSENCE_DESCRIPTION;soulessence;ANY;soulessenceDescription;You found a jar of Soul Essence, the local drug. Your maximal life has increased.;40
FIRSTAIDKIT_DESCRIPTION;firstaidkit;0;firstaidkitDescription;You found a First Aid kit and used it. Your health has been restored up to 5 points.;40
MEDIPACK_DESCRIPTION;medipack;0;medipackDescription;You found a medipack and used it. Your health has been restored completely.;40
ARMOR_DESCRIPTION;armor;ANY;armorDescription;You found an armor plate. It will make found vehicles more durable.;40
SOFTWARE_DESCRIPTION;software;ANY;softwareDesciption;You found a software chip from the data center.;40
CHART_DESCRIPTION;chart;ANY;chartDesciption;You found a map of this area. It can be viewed in the menu on the map screen.;40
PISTOL_DESCRIPTION;pistol;0;pistolDescription;You found a handgun. Press [TAB] to switch weapons. Collect ammo to reload.;40
SHOTGUN_DESCRIPTION;shotgun;0;shotgunDescription;You found a shotgun. It's efficient against unarmored enemies. Press [TAB] to switch weapons. Collect ammo to reload.;40
RIFLE_DESCRIPTION;rifle;0;rifleDescription;You found an assault rifle. It's efficiency is higher for lower armor. Press [TAB] to switch weapons. Collect ammo to reload.;40
MACHINEGUN_DESCRIPTION;machinegun;0;machinegunDescription;You found a machine gun. It's devastating against medium and heavy armor. Press [TAB] to switch weapons. Collect ammo to reload.;40
RPG_DESCRIPTION;rpg;0;rpgDescription;You found an RPG. It can kill fortified targets in one hit. Press [TAB] to switch weapons. Collect ammo to reload.;40
PISTOL_DESCRIPTION2;pistol;1;pistolDescription;You found another handgun. You manage to reuse its parts to upgrade the ammunition capacity by one.;39
SHOTGUN_DESCRIPTION2;shotgun;1;shotgunDescription;You found another shotgun. You manage to reuse its parts to upgrade the ammunition capacity by one.;39
RIFLE_DESCRIPTION2;rifle;1;rifleDescription;You found another assault rifle. You manage to reuse its parts to upgrade the ammunition capacity by one.;39
MACHINEGUN_DESCRIPTION2;machinegun;1;machinegunDescription;You found another machine gun. You manage to reuse its parts to upgrade the ammunition capacity by one.;39
RPG_DESCRIPTION2;rpg;1;rpgDescription;You found another RPG. You manage to reuse its parts to upgrade the ammunition capacity by one.;39
PISTOL_DESCRIPTION3;pistol;2;pistolDescription;You found another handgun. You manage to reuse its parts to upgrade the ammunition capacity by one.;38
SHOTGUN_DESCRIPTION3;shotgun;2;shotgunDescription;You found another shotgun. You manage to reuse its parts to upgrade the ammunition capacity by one.;38
RIFLE_DESCRIPTION3;rifle;2;rifleDescription;You found another assault rifle. You manage to reuse its parts to upgrade the ammunition capacity by one.;38
MACHINEGUN_DESCRIPTION3;machinegun;2;machinegunDescription;You found another machine gun. You manage to reuse its parts to upgrade the ammunition capacity by one.;38
RPG_DESCRIPTION3;rpg;2;rpgDescription;You found another RPG. You manage to reuse its parts to upgrade the ammunition capacity by one.;38
PISTOL_AMMO_DESCRIPTION;CollectibleAmmo_pistol;0;pistolAmmoDescription;You found handgun ammunition.;40
SHOTGUN_AMMO_DESCRIPTION;CollectibleAmmo_shotgun;0;shotgunAmmoDescription;You found shotgun ammunition.;40
RIFLE_AMMO_DESCRIPTION;CollectibleAmmo_rifle;0;rifleAmmoDescription;You found assault rifle ammunition.;40
MACHINEGUN_AMMO_DESCRIPTION;CollectibleAmmo_machinegun;0;machinegunAmmoDescription;You found machine gun ammunition.;40
RPG_AMMO_DESCRIPTION;CollectibleAmmo_rpg;0;rpgAmmoDescription;You found RPG ammunition.;40
BOTTLE_DESCRIPTION;bottle;ANY;bottleDescription;You found a bottle. Your water capacity increases.;40
FOOD_COMPARTMENT_DESCRIPTION;foodcompartment;ANY;foodcompartmentDescription;You found a food compartment and attached it to your backback. Your supply capacity increases.;40
FUEL_TANK_DESCRIPTION;fueltank;ANY;fuelTankDescription;You found a fuel tank upgrade. Vehicles will have more fuel now.;40
RED_KEYCARD_DESCRIPTION;CollectibleKey_redKeycardDoor;0;CollectibleKey_redKeycardDoor;You found the key card for the sleeping quarters (red).;40
LILA_KEYCARD_DESCRIPTION;CollectibleKey_lilaKeycardDoor;0;CollectibleKey_lilaKeycardDoor;You found the key card for the supplies storage (purple).;40
CYAN_KEYCARD_DESCRIPTION;CollectibleKey_cyanKeycardDoor;0;CollectibleKey_cyanKeycardDoor;You found the key card for the quarantaine room (cyan).;40
GREEN_KEYCARD_DESCRIPTION;CollectibleKey_greenKeycardDoor;0;CollectibleKey_greenKeycardDoor;You found quartermaster's keycard (green).;40
YELLOW_KEYCARD_DESCRIPTION;CollectibleKey_yellowKeycardDoor;0;CollectibleKey_yellowKeycardDoor;You found the key card to the expedition wing (yellow).;40
BROWN_KEYCARD_DESCRIPTION;CollectibleKey_brownKeycardDoor;0;CollectibleKey_brownKeycardDoor;You found the key card to the hangar (brown).;40
BLACK_KEYCARD_DESCRIPTION;CollectibleKey_blackKeycardDoor;0;CollectibleKey_blackKeycardDoor;You found captains key card (black).;40
DARKBLUE_KEYCARD_DESCRIPTION;CollectibleKey_darkblueKeycardDoor;0;CollectibleKey_darkblueKeycardDoor;You found the key card of the keeper of traditions (dark blue).;40
WHITE_KEYCARD_DESCRIPTION;CollectibleKey_whiteKeycardDoor;0;CollectibleKey_whiteKeycardDoor;You found the expedition chiefs keycard (white).;40
YELLOW_KEY_DESCRIPTION;CollectibleKey_yellowKeyDoor;0;CollectibleKey_yellowKeyDoor;You found the yellow key. It will open some doors.;40
GREEN_KEY_DESCRIPTION;CollectibleKey_greenKeyDoor;0;CollectibleKey_greenKeyDoor;You found the green key. It will open some doors.;40
BLUE_KEY_DESCRIPTION;CollectibleKey_blueKeyDoor;0;CollectibleKey_blueKeyDoor;You found the blue key. It will open some doors.;40
RED_KEY_DESCRIPTION;CollectibleKey_redKeyDoor;0;CollectibleKey_redKeyDoor;You found the red key. It will open some doors.;40
