ruleName;pieceType;narrativeSequenceId;gameProgressProperty;gameProgressPropertyValue;priority
INSIGHT01_MAIN;insight;MAIN;memories/memory001;foundinsightnumber;0;40
INSIGHT02_MAIN;insight;MAIN;memories/memory002;foundinsightnumber;1;39
INSIGHT03_MAIN;insight;MAIN;maryharper/001;foundinsightnumber;2;38
INSIGHT04_MAIN;insight;MAIN;memories/memory003;foundinsightnumber;3;37
INSIGHT05_MAIN;insight;MAIN;memories/memory004;foundinsightnumber;4;36
INSIGHT06_MAIN;insight;MAIN;memories/memory005;foundinsightnumber;5;35
INSIGHT07_MAIN;insight;MAIN;maryharper/002;foundinsightnumber;6;34
INSIGHT08_MAIN;insight;MAIN;memories/memory006;foundinsightnumber;7;33
INSIGHT09_MAIN;insight;MAIN;memories/memory007;foundinsightnumber;8;32
INSIGHT10_MAIN;insight;MAIN;maryharper/003;foundinsightnumber;9;31
INSIGHT11_MAIN;insight;MAIN;memories/memory008;foundinsightnumber;10;30
INSIGHT12_MAIN;insight;MAIN;memories/memory009;foundinsightnumber;11;29
INSIGHT13_MAIN;insight;MAIN;memories/memory010;foundinsightnumber;12;28
INSIGHT14_MAIN;insight;MAIN;maryharper/004;foundinsightnumber;13;27
INSIGHT15_MAIN;insight;MAIN;memories/memory011;foundinsightnumber;14;26
INSIGHT16_MAIN;insight;MAIN;memories/memory012;foundinsightnumber;15;25
INSIGHT17_MAIN;insight;MAIN;maryharper/005;foundinsightnumber;16;24
INSIGHT18_MAIN;insight;MAIN;memories/memory013;foundinsightnumber;17;23
INSIGHT19_MAIN;insight;MAIN;maryharper/006;foundinsightnumber;18;22
INSIGHT20_MAIN;insight;MAIN;memories/memory014;foundinsightnumber;19;21
INSIGHT21_MAIN;insight;MAIN;maryharper/007;foundinsightnumber;20;20
INSIGHT22_MAIN;insight;MAIN;memories/memory015;foundinsightnumber;21;19
INSIGHT23_MAIN;insight;MAIN;maryharper/008;foundinsightnumber;22;18
INSIGHT24_MAIN;insight;MAIN;memories/memory016;foundinsightnumber;23;17
INSIGHT25_MAIN;insight;MAIN;maryharper/009;foundinsightnumber;24;16
INSIGHT26_MAIN;insight;MAIN;memories/memory017;foundinsightnumber;25;15
INSIGHT27_MAIN;insight;MAIN;maryharper/010;foundinsightnumber;26;14
INSIGHT28_MAIN;insight;MAIN;memories/memory018;foundinsightnumber;27;13
INSIGHT29_MAIN;insight;MAIN;maryharper/011;foundinsightnumber;28;12
INSIGHT30_MAIN;insight;MAIN;memories/memory019;foundinsightnumber;29;11
INSIGHT31_MAIN;insight;MAIN;maryharper/012;foundinsightnumber;30;10
INSIGHT32_MAIN;insight;MAIN;memories/memory020;foundinsightnumber;31;9
INSIGHT01_SPACE;insight;SPACE;memories/memory_space;foundinsightnumber_space;0;1
