ruleName;regionName;narrativeSequenceId;onlyOnceFlag;gameProgressProperty;mapType;cutsceneType
ALISAENTERS;alisaenters;cutscenes/001.meetingalisa;true;alisaenters;MAIN;cutscene
GHOSTTOWN;ghosttown;cutscenes/003.ghosttown;true;ghosttown;MAIN;cutscene
SPACELIFT;spacelift;cutscenes/000.spacelift;true;spacelift;MAIN;cutscene
SPACESTATION;spacestation;cutscenes/000.spacestation;true;spacestation;SPACE;cutscene
PLATFORM;platform;cutscenes/000.platform;true;platform;MAIN;cutscene
RACINGTRACK;racingtrack;cutscenes/000.race;true;racingtrack;MAIN;cutscene
POISONOUSLABYRINTH;poisonouslabyrinth;cutscenes/000.poisonouslabyrinth;true;poisonouslabyrinth;MAIN;cutscene
SNOWWORM;snowworm;cutscenes/000.snowworm;true;snowworm;MAIN;cutscene
ENTERINGALIENBASE;enteringalienbase;cutscenes/004.enteringthebase;true;enteringthebase;MAIN;cutscene
ENTERINGCOSMODOGCHAMBER;enteringcosmodogchamber;cutscenes/006.decision;true;enteringcosmodogchamber;MAIN;ending
ENTERING6000iNFOBITSBARRIER;alisaspast;cutscenes/005.entering6000infobitsbarrier;true;alisaspast;MAIN;cutscene
