ruleName;regionName;text;onlyOnceFlag;gameProgressProperty;mapType
TUTORIAL.WAIT;tutorial.wait;[---TUTORIAL---] <p> You can press [ENTER] to skip some time without moving;true;readTutorialWait;MAIN
TUTORIAL.RADIATION;tutorial.radiation;[---TUTORIAL---] <p> Some places are contaminated by radiation. Take care!;true;readTutorialRadiation;MAIN
TUTORIAL.MEDKIT;tutorial.medkit;[---TUTORIAL---] <p> You took some radioactive damage. Use this medkit to heal.;true;readTutorialMedkit;MAIN
TUTORIAL.INFOBIT;tutorial.infobit;[---TUTORIAL---] <p> Infobits represent knowledge you gain about Phaeton. Collect as many as you can.;true;readTutorialInfobit;MAIN
TUTORIAL.SUPPLIES;tutorial.supplies;[---TUTORIAL---] <p> Hunger will drain your constitution. Collect supply rations to regain strength.;true;readTutorialSupplies;MAIN
TUTORIAL.WATER;tutorial.water;[---TUTORIAL---] <p> Thirst is a permanent threat for a survivor. Approach water to drink it.;true;readTutorialWater;MAIN
TUTORIAL.CRATES;tutorial.crates;[---TUTORIAL---] <p> Destroy crates by running into them. Sometimes they hold useful items.;true;readTutorialCrates;MAIN
TUTORIAL.CAR;tutorial.car;[---TUTORIAL---] <p> Enter the car to drive it. It gives some protection and saves supplies. Refuel cars at gas stations. Drive on roads to save fuel.;true;readTutorialCar;MAIN
TUTORIAL.TERRAINTYPES;tutorial.terraintypes;[---TUTORIAL---] <p> Vehicles cannot drive over rough terrain. Exit the car with [SHIFT] + [ARROW KEY].;true;readTutorialTerrainTypes;MAIN
TUTORIAL.GOODLUCK;tutorial.goodluck;[---TUTORIAL---] <p> This ends the tutorial. Good luck!;true;readTutorialGoodLuck;MAIN
